agv_i,agv_j,d_min,t_at_d_min,idx_at_d_min,d_final,identical_traj
1,7,0.0137567804387668,43.1,863,1.3771822885068,0
2,7,0.035157617072783,52.15,1044,0.98116813312884,0
1,8,0.0608717340744661,31.15,624,2.07983454495584,0
2,8,0.147027511547422,38.3,767,1.65161624736155,0
2,6,0.155800714078164,46.4,929,1.42004497528344,0
4,5,0.189027607741605,26.8,537,1.5764449762436,0
1,6,0.197604848258416,35.9,719,1.81376506437941,0
2,5,0.218676624021406,36.75,736,1.2276286621939,0
4,6,0.251801757662804,35.9,719,1.83038330725738,0
6,7,0.295491912345833,21,421,0.439210996274794,0
3,5,0.3096946952197,31.2,625,1.20939803894642,0
10,11,0.318873210213379,22.4,449,0.439833789869533,0
2,3,0.322032288443658,23.55,472,0.446265311944558,0
5,6,0.340429927854329,59.45,1190,0.449682042874952,0
3,4,0.351155915591518,15.75,316,0.430773521895726,0
5,7,0.361951975012314,104.15,2084,0.43099171696807,0
1,4,0.363516629137387,39.6,793,0.440409383334752,0
9,11,0.364953772377314,34.1,683,0.449660022032447,0
11,12,0.366890786874676,66.4,1329,0.431579540363147,0
1,2,0.372084313496662,16.5,331,0.443831569622453,0
5,8,0.376903211752018,38.85,778,0.432740468850188,0
7,8,0.380244945856788,17.55,352,0.748818672853442,0
9,10,0.381564315915125,19.15,384,0.444349304887354,0
6,8,0.382424485707997,61.35,1228,0.444301662685409,0
2,4,0.387486719609543,64.85,1298,0.449834194748864,0
9,12,0.418731190047198,120.5,2411,0.446731833619709,0
4,7,0.432414706912833,44.15,884,1.39737498929282,0
1,5,0.434747249332153,30.7,615,1.6622069098132,0
3,6,0.547722954400453,39.85,798,1.52418024950434,0
1,12,0.621117315593218,2.1,43,3.07821902796175,0
8,9,0.62116570824605,0,1,1.03150695929823,0
4,8,0.652286200078891,31.5,631,2.00903668653866,0
1,3,0.667503318475514,101.75,2036,0.756937442294175,0
10,12,0.677075689056774,120.8,2417,0.75772887326082,0
3,7,0.732404410164033,48.7,975,1.11746865726408,0
1,9,0.74633919738333,26.15,524,3.00289917693147,0
3,8,0.788819188719395,33.15,664,1.63928404801291,0
2,9,0.84104923216726,34.8,697,2.60411445347151,0
1,11,0.901023827780113,20.9,419,3.40994440485291,0
5,9,0.960324923385646,44.05,882,1.44799630766642,0
8,12,0.974571348743762,195.9,3919,1.00338004026476,0
2,11,1.02756365142636,32.55,652,2.99884291837432,0
1,10,1.04282922594173,21.7,435,3.38782376918254,0
2,12,1.06223889168377,28.55,572,2.65392637523492,0
8,11,1.1145550855463,37.85,758,1.37092837001477,0
6,9,1.17038148761577,227.85,4558,1.18913651218324,0
7,9,1.2,0,1,1.62696883065974,0
8,10,1.2,0,1,1.47082417521661,0
5,11,1.25547878768465,39.2,785,1.80265788326536,0
6,12,1.27228697401362,208.05,4162,1.30931766375236,0
5,12,1.33410659251894,42.55,852,1.43413051067393,0
3,9,1.40796896047427,27.95,560,2.65429287005643,0
3,12,1.42482423338453,23.85,478,2.6285085117001,0
2,10,1.45405925042198,31.65,634,3.00359633463929,0
5,10,1.47130669274471,62.85,1258,1.87940823342518,0
4,9,1.47426146025095,29.75,596,2.99886662559236,0
3,11,1.52957706598787,25.75,516,3.01005974143687,0
6,10,1.57367568421381,265.15,5304,1.5837636194398,0
6,11,1.58424971814544,227.75,4556,1.60283824319857,0
7,12,1.67364192993725,186,3721,1.71701883045922,0
7,10,1.67383387217967,14.65,294,2.02243099201022,0
4,11,1.73210385681531,30.2,605,3.37575697116932,0
3,10,1.73603007072917,22.8,457,3.07920802645833,0
4,12,1.75885266285523,23.35,468,3.00961429891009,0
7,11,1.88505025308487,20.5,411,2.03368948621012,0
4,10,1.90338394746532,21.75,436,3.41066451184256,0
