p,d,rmse_pos,rmse_vel,max_pos_err,control_rms,settle_time_abs,settle_time_50pct,loss_rate_emp,final_pos_err,decay_ratio
0.05,0,1.00631236549075,0.0202090895044362,1.28062484748657,0.0679658297773059,Inf,35.35,0.05625,0.525332109517986,0.410215458921506
0.05,1,1.00589697542119,0.020239326908802,1.28062484748657,0.068085241701904,Inf,35.3,0.04625,0.524165576066101,0.409304549333757
0.05,2,1.00546535143352,0.0202708228950205,1.28062484748657,0.068210025170559,Inf,35.25,0.055,0.52295147522435,0.408356495854914
0.05,3,1.00504429182113,0.0203018041421229,1.28062484748657,0.0683321138596893,Inf,35.2,0.04875,0.521760508797537,0.407426507319122
0.15,0,1.00712537487804,0.0201937091589197,1.28062484748657,0.0679714283435286,Inf,35.4,0.13375,0.526438578116364,0.411079465738607
0.15,1,1.00668813963977,0.0202259231996175,1.28062484748657,0.0680984069279423,Inf,35.35,0.15875,0.525201712895203,0.410113636265917
0.15,2,1.0054292018446,0.0202737121879714,1.28062484748657,0.0682205778085851,Inf,35.25,0.14,0.522842198155797,0.408271164800494
0.15,3,1.00498354445104,0.0203061355966704,1.28062484748657,0.0683492096454139,Inf,35.2,0.1725,0.521591210686089,0.407294307704395
0.25,0,1.00621631661547,0.0202161976735914,1.28062484748657,0.0679939303844707,Inf,35.3,0.2125,0.52505972340892,0.410002761104811
0.25,1,1.00661559290042,0.0202307892882022,1.28062484748657,0.0681184149812868,Inf,35.3,0.25875,0.525007743392827,0.409962171531529
0.25,2,1.00532696531985,0.0202798898495206,1.28062484748657,0.0682488743284545,Inf,35.25,0.26375,0.522590395253981,0.408074539768338
0.25,3,1.00486726670779,0.0203134691405882,1.28062484748657,0.0683822977533755,Inf,35.2,0.28375,0.521296222033091,0.40706396026613
0.35,0,1.00612140802851,0.0202231552203754,1.28062484748657,0.0680208191499636,Inf,35.3,0.35375,0.524791809636838,0.409793555596571
0.35,1,1.00653743402719,0.0202357722880114,1.28062484748657,0.06813997455281,Inf,35.3,0.34125,0.524808794336208,0.409806818418547
0.35,2,1.00611175816026,0.0202666664329168,1.28062484748657,0.0682628771671693,Inf,35.3,0.345,0.523615149046361,0.408874738042166
0.35,3,1.00480382329685,0.0203187501965486,1.28062484748657,0.0684012801500691,Inf,35.2,0.3675,0.521098746069687,0.406909757445692
