p,d,rmse_pos,rmse_vel,max_pos_err,control_rms,settle_time_abs,settle_time_50pct,loss_rate_emp,final_pos_err,decay_ratio
0.05,0,0.657414901671279,0.0166168577560349,1.28062484748657,0.0498439100738373,66.9,35.35,0.047,0.164195304431586,0.128214991887628
0.05,1,0.657062079884939,0.0166306829027287,1.28062484748657,0.0499411835115006,66.8,35.3,0.0495,0.164531802390471,0.128477752648163
0.05,2,0.656707356292272,0.0166445526854851,1.28062484748657,0.05003914340511,66.7,35.25,0.0495,0.164863312008688,0.128736618169059
0.05,3,0.656973473465147,0.0166582279075527,1.28062484748657,0.0501338682451531,66.65,35.25,0.042,0.165192911383088,0.12899399204014
0.05,4,0.656009846066934,0.0166721420901189,1.28062484748657,0.0502332842005927,66.5,35.15,0.0495,0.16551921520867,0.129248792519939
0.05,5,0.655648980436044,0.0166865945975704,1.28062484748657,0.0503343804859485,66.4,35.1,0.0570000000000001,0.165859581989115,0.129514574322559
0.05,6,0.655322715120973,0.0167000982982093,1.28062484748657,0.0504274445328188,66.3,35.1,0.0475,0.166171077851884,0.129757811726066
0.05,7,0.654970866773865,0.0167142034814478,1.28062484748657,0.050526616852785,66.2,35.05,0.045,0.166492627854395,0.130008900093703
0.05,8,0.654614536300204,0.0167285285234074,1.28062484748657,0.0506274227233611,66.1,35,0.0535,0.166817852704597,0.130262858035282
0.15,0,0.657368707931964,0.0166185795501929,1.28062484748657,0.0498563921704804,66.9,35.3,0.1485,0.164235354946009,0.128246266085144
0.15,1,0.656991001031235,0.0166323060473813,1.28062484748657,0.0499579150095051,66.8,35.3,0.156,0.164563951950085,0.128502857236503
0.15,2,0.657274752785239,0.0166459688082469,1.28062484748657,0.0500491379722619,66.75,35.3,0.146,0.164897752875361,0.128763511967614
0.15,3,0.656310281918408,0.0166599269267096,1.28062484748657,0.0501486727864749,66.6,35.2,0.153,0.165230652247058,0.129023462703656
0.15,4,0.655971390740627,0.0166740699624354,1.28062484748657,0.0502449648919352,66.5,35.15,0.1535,0.16556759929097,0.12928657414068
0.15,5,0.655620464742859,0.0166882814963338,1.28062484748657,0.0503438291654403,66.4,35.1,0.16,0.165903697820708,0.129549022999453
0.15,6,0.655272725505739,0.0167020324563009,1.28062484748657,0.0504413444593848,66.3,35.05,0.153,0.1662134271275,0.129790880954497
0.15,7,0.655536745527431,0.0167156170352348,1.28062484748657,0.0505374175948698,66.25,35.1,0.141,0.166531099839813,0.130038941667153
0.15,8,0.655190058901422,0.016730383111957,1.28062484748657,0.0506378636916658,66.15,35.05,0.158,0.166868843390921,0.130302675071804
0.25,0,0.657307040303481,0.0166209733772764,1.28062484748657,0.0498734281753624,66.85,35.3,0.254,0.164297867316902,0.128295080045778
0.25,1,0.65695265120692,0.0166346918972725,1.28062484748657,0.0499706441575443,66.75,35.25,0.2515,0.164628485199459,0.128553249238111
0.25,2,0.656606498051131,0.0166482807485775,1.28062484748657,0.0500664961507222,66.65,35.25,0.2595,0.164952154672836,0.12880599263444
0.25,3,0.65686920413589,0.0166623278323137,1.28062484748657,0.0501628681393617,66.6,35.25,0.261,0.165292092293633,0.129071439319677
0.25,4,0.655936346629326,0.0166752922535548,1.28062484748657,0.0502546545537163,66.45,35.15,0.2305,0.165589741771428,0.129303864513033
0.25,5,0.655577179164143,0.0166896661673862,1.28062484748657,0.0503553185114706,66.35,35.1,0.24,0.165925690383026,0.129566196305406
0.25,6,0.655204900741859,0.0167039492285223,1.28062484748657,0.0504585604028146,66.25,35.05,0.25,0.166248542875967,0.129818301747195
0.25,7,0.654886217718183,0.0167184414410296,1.28062484748657,0.0505527741825932,66.15,35,0.2525,0.166592245640022,0.130086688515365
0.25,8,0.655159755218129,0.0167316467552823,1.28062484748657,0.0506465746501787,66.1,35.05,0.2225,0.166891983216718,0.130320744240025
0.35,0,0.657209032586214,0.01662377513826,1.28062484748657,0.0498979538290947,66.85,35.3,0.3555,0.164344306005194,0.128331342569017
0.35,1,0.657511611469981,0.0166375916685143,1.28062484748657,0.0499859975110947,66.8,35.3,0.365,0.16471844882261,0.128623499025414
0.35,2,0.65654631810029,0.016650932776075,1.28062484748657,0.0500842698087106,66.65,35.2,0.356,0.165007438617777,0.128849162142708
