kc_pos,kc_vel,d_safe,k_rep,u_max,final_mean_err,decay_ratio,min_pair_dist,improve_final_pct,improve_decay_pct,safe_flag,score
0.08,0.1,0.45,2.4,1,1.1052441565388,0.648152243094755,0.202153475024733,7.31190126836443,7.31190126836443,1,1.1052441565388
0.08,0.1,0.45,2.4,1.2,1.1052441565388,0.648152243094755,0.202153475024733,7.31190126836443,7.31190126836443,1,1.1052441565388
0.08,0.2,0.45,2.4,1,1.10719294227147,0.649295076410334,0.205996641279172,7.14847199952109,7.1484719995211,1,1.10719294227147
0.08,0.2,0.45,2.4,1.2,1.10719294227147,0.649295076410334,0.205996641279172,7.14847199952109,7.1484719995211,1,1.10719294227147
0.08,0.3,0.45,2.4,1,1.10917284161802,0.650456155792639,0.210035169227817,6.98243347760136,6.98243347760137,1,1.10917284161802
0.08,0.3,0.45,2.4,1.2,1.10917284161802,0.650456155792639,0.210035169227817,6.98243347760136,6.98243347760137,1,1.10917284161802
0.04,0.1,0.45,1.8,1,1.13700273440486,0.666776538332696,0.220412546377168,4.64856015643823,4.64856015643824,1,1.13700273440486
0.04,0.1,0.45,1.8,1.2,1.13700273440486,0.666776538332696,0.220412546377168,4.64856015643823,4.64856015643824,1,1.13700273440486
0.04,0.3,0.45,1.2,1,1.13889244703035,0.667884729196923,0.211149763115831,4.49008488256357,4.49008488256358,1,1.13889244703035
0.04,0.3,0.45,1.2,1.2,1.13889244703035,0.667884729196923,0.211149763115831,4.49008488256357,4.49008488256358,1,1.13889244703035
0.04,0.2,0.45,1.8,1,1.13911683856016,0.668016319916055,0.227322052319802,4.4712669370932,4.47126693709321,1,1.13911683856016
0.04,0.2,0.45,1.8,1.2,1.13911683856016,0.668016319916055,0.227322052319802,4.4712669370932,4.47126693709321,1,1.13911683856016
0.04,0.1,0.45,2.4,1,1.13931050711779,0.66812989365386,0.246592862291988,4.45502548466408,4.45502548466409,1,1.13931050711779
0.04,0.1,0.45,2.4,1.2,1.13931050711779,0.66812989365386,0.246592862291988,4.45502548466408,4.45502548466409,1,1.13931050711779
0.04,0.3,0.45,1.8,1,1.14119279559957,0.669233730751212,0.23559614309866,4.29717281508988,4.29717281508989,1,1.14119279559957
0.04,0.3,0.45,1.8,1.2,1.14119279559957,0.669233730751212,0.23559614309866,4.29717281508988,4.29717281508989,1,1.14119279559957
0.04,0.2,0.45,2.4,1,1.14136224401359,0.669333100984464,0.252604292441875,4.2829625148267,4.2829625148267,1,1.14136224401359
0.04,0.2,0.45,2.4,1.2,1.14136224401359,0.669333100984464,0.252604292441875,4.2829625148267,4.2829625148267,1,1.14136224401359
0.04,0.2,0.45,1.2,1,1.13675162705861,0.666629280562757,0.199397224271093,4.66961854644539,4.66961854644539,0,1.14277938434768
0.04,0.2,0.45,1.2,1.2,1.13675162705861,0.666629280562757,0.199397224271093,4.66961854644539,4.66961854644539,0,1.14277938434768
0.04,0.3,0.45,2.4,1,1.14337085138279,0.670511015714113,0.25858420333793,4.11451647776937,4.11451647776938,1,1.14337085138279
0.04,0.3,0.45,2.4,1.2,1.14337085138279,0.670511015714113,0.25858420333793,4.11451647776937,4.11451647776938,1,1.14337085138279
0.04,0.3,0.45,0.8,1,1.13729753485754,0.666949419205702,0.194048284854519,4.62383757066195,4.62383757066196,0,1.19681468631235
0.04,0.3,0.45,0.8,1.2,1.13729753485754,0.666949419205702,0.194048284854519,4.62383757066195,4.62383757066196,0,1.19681468631235
0.04,0.3,0.35,2.4,1,1.13629449841034,0.666361204991396,0.190987095797206,4.70795431599733,4.70795431599734,0,1.22642354043828
0.04,0.3,0.35,2.4,1.2,1.13629449841034,0.666361204991396,0.190987095797206,4.70795431599733,4.70795431599734,0,1.22642354043828
0.08,0.3,0.45,1.8,1,1.10630480847534,0.648774244964427,0.187210438168589,7.22295276695662,7.22295276695663,0,1.23420042678945
0.08,0.3,0.45,1.8,1.2,1.10630480847534,0.648774244964427,0.187210438168589,7.22295276695662,7.22295276695663,0,1.23420042678945
0.04,0.1,0.45,1.2,1,1.13457898612416,0.665355171048791,0.189059860756425,4.85182078316301,4.85182078316302,0,1.24398037855992
0.04,0.1,0.45,1.2,1.2,1.13457898612416,0.665355171048791,0.189059860756425,4.85182078316301,4.85182078316302,0,1.24398037855992
0.12,0.3,0.45,2.4,1,1.08915733447927,0.638718391089783,0.184432856239111,8.66097598865154,8.66097598865156,0,1.24482877208817
