kc_pos,kc_vel,d_safe,k_rep,u_max,final_mean_err,decay_ratio,min_pair_dist,improve_final_pct,improve_decay_pct,safe_flag,score
0.08,0.1,0.45,2.4,1,1.10590312128974,0.648538682126275,0.202059977403518,7.25663909888357,7.25663909888358,1,1.10590312128974
0.08,0.1,0.45,2.4,1.2,1.10590312128974,0.648538682126275,0.202059977403518,7.25663909888357,7.25663909888358,1,1.10590312128974
0.08,0.2,0.45,2.4,1,1.10791789622823,0.649720213725408,0.205893062691682,7.08767583649925,7.08767583649925,1,1.10791789622823
0.08,0.2,0.45,2.4,1.2,1.10791789622823,0.649720213725408,0.205893062691682,7.08767583649925,7.08767583649925,1,1.10791789622823
0.08,0.3,0.45,2.4,1,1.1099632374901,0.650919670441768,0.209928373166743,6.9161492179699,6.91614921796991,1,1.1099632374901
0.08,0.3,0.45,2.4,1.2,1.1099632374901,0.650919670441768,0.209928373166743,6.9161492179699,6.91614921796991,1,1.1099632374901
0.04,0.1,0.45,1.8,1,1.13735380306174,0.666982416767872,0.220320090887611,4.61911880075435,4.61911880075437,1,1.13735380306174
0.04,0.1,0.45,1.8,1.2,1.13735380306174,0.666982416767872,0.220320090887611,4.61911880075435,4.61911880075437,1,1.13735380306174
0.04,0.3,0.45,1.2,1,1.13937871259587,0.66816989163381,0.210849890538787,4.44930562987046,4.44930562987047,1,1.13937871259587
0.04,0.3,0.45,1.2,1.2,1.13937871259587,0.66816989163381,0.210849890538787,4.44930562987046,4.44930562987047,1,1.13937871259587
0.04,0.2,0.45,1.8,1,1.13953507655138,0.66826158870174,0.227186481467892,4.43619261980799,4.43619261980799,1,1.13953507655138
0.04,0.2,0.45,1.8,1.2,1.13953507655138,0.66826158870174,0.227186481467892,4.43619261980799,4.43619261980799,1,1.13953507655138
0.04,0.1,0.45,2.4,1,1.13966059097631,0.66833519457025,0.246494026749048,4.42566671624088,4.42566671624089,1,1.13966059097631
0.04,0.1,0.45,2.4,1.2,1.13966059097631,0.66833519457025,0.246494026749048,4.42566671624088,4.42566671624089,1,1.13966059097631
0.04,0.3,0.45,1.8,1,1.14167791123338,0.669518218829574,0.235412642507027,4.25648999808799,4.256489998088,1,1.14167791123338
0.04,0.3,0.45,1.8,1.2,1.14167791123338,0.669518218829574,0.235412642507027,4.25648999808799,4.256489998088,1,1.14167791123338
0.04,0.2,0.45,2.4,1,1.14177960562764,0.669577855833177,0.252512368939131,4.2479616923745,4.24796169237451,1,1.14177960562764
0.04,0.2,0.45,2.4,1.2,1.14177960562764,0.669577855833177,0.252512368939131,4.2479616923745,4.24796169237451,1,1.14177960562764
0.04,0.3,0.45,2.4,1,1.14385518409289,0.670795044659749,0.258494228114418,4.07389931839634,4.07389931839635,1,1.14385518409289
0.04,0.3,0.45,2.4,1.2,1.14385518409289,0.670795044659749,0.258494228114418,4.07389931839634,4.07389931839635,1,1.14385518409289
0.04,0.2,0.45,1.2,1,1.13717108233512,0.666875263205364,0.199161573839413,4.63444214505659,4.63444214505661,0,1.145555343941
0.04,0.2,0.45,1.2,1.2,1.13717108233512,0.666875263205364,0.199161573839413,4.63444214505659,4.63444214505661,0,1.145555343941
0.04,0.3,0.45,0.8,1,1.13778480158989,0.667235168760395,0.193665761675339,4.58297435801397,4.58297435801398,0,1.2011271848365
0.04,0.3,0.45,0.8,1.2,1.13778480158989,0.667235168760395,0.193665761675339,4.58297435801397,4.58297435801398,0,1.2011271848365
0.04,0.3,0.35,2.4,1,1.1367799430235,0.666645885994281,0.190701222486867,4.66724391009578,4.66724391009579,0,1.22976771815483
0.04,0.3,0.35,2.4,1.2,1.1367799430235,0.666645885994281,0.190701222486867,4.66724391009578,4.66724391009579,0,1.22976771815483
0.08,0.3,0.45,1.8,1,1.10710252455329,0.649242052427801,0.187148307305476,7.15605461946958,7.15605461946958,0,1.23561945149853
0.08,0.3,0.45,1.8,1.2,1.10710252455329,0.649242052427801,0.187148307305476,7.15605461946958,7.15605461946958,0,1.23561945149853
0.04,0.1,0.45,1.2,1,1.13493134254818,0.665561804673812,0.188890488657598,4.8222714326189,4.82227143261891,0,1.24602645597221
0.04,0.1,0.45,1.2,1.2,1.13493134254818,0.665561804673812,0.188890488657598,4.8222714326189,4.82227143261891,0,1.24602645597221
0.12,0.3,0.45,2.4,1,1.09028919832396,0.639382154010829,0.184395329366693,8.56605550690397,8.56605550690398,0,1.24633590465703
0.12,0.3,0.45,2.4,1.2,1.09028919832396,0.639382154010829,0.184395329366693,8.56605550690397,8.56605550690398,0,1.24633590465703
0.08,0.2,0.45,1.8,1,1.10512095130184,0.648079991411523,0.183955996970636,7.322233518573,7.32223351857301,0,1.26556098159549
0.08,0.2,0.45,1.8,1.2,1.10512095130184,0.648079991411523,0.183955996970636,7.322233518573,7.32223351857301,0,1.26556098159549
0.12,0.2,0.45,2.4,1,1.08907999316894,0.63867303555139,0.182210415879621,8.6674619935452,8.6674619935452,0,1.26697583437273
0.12,0.2,0.45,2.4,1.2,1.08907999316894,0.63867303555139,0.182210415879621,8.6674619935452,8.6674619935452,0,1.26697583437273
0.12,0.1,0.45,2.4,1,1.08796093320595,0.638016781256013,0.180267050415127,8.76130871485335,8.76130871485335,0,1.28529042905468
0.12,0.1,0.45,2.4,1.2,1.08796093320595,0.638016781256013,0.180267050415127,8.76130871485335,8.76130871485335,0,1.28529042905468
0.08,0.1,0.45,1.8,1,1.10318268104061,0.646943324721079,0.181049397106434,7.48478093787342,7.48478093787343,0,1.29268870997626
0.08,0.1,0.45,1.8,1.2,1.10318268104061,0.646943324721079,0.181049397106434,7.48478093787342,7.48478093787343,0,1.29268870997626
0.04,0.3,0.35,1.8,1,1.13623282143482,0.666325035544313,0.18269574495261,4.71312667684012,4.71312667684012,0,1.30927537190872
0.04,0.3,0.35,1.8,1.2,1.13623282143482,0.666325035544313,0.18269574495261,4.71312667684012,4.71312667684012,0,1.30927537190872
